                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0114,                 2.7373,                 1.2786,                 0.6665,                0.57181,                0.61508,                0.42141,                  1.066,                 1.5218,                 1.2872,             0.00013861,             0.00013861,             0.00013861
                      2,                 1.0563,                  1.923,                 1.3198,                0.62889,                 0.5406,                0.58793,                 0.3948,                 1.0941,                 1.5168,                 1.3161,             0.00027486,             0.00027486,             0.00027486
                      3,                 1.0933,                 1.8834,                 1.3493,                0.60333,                0.48837,                0.52665,                0.33567,                 1.2104,                 1.6925,                 1.4392,             0.00040836,             0.00040836,             0.00040836
                      4,                 1.1011,                 1.8202,                 1.3539,                0.63518,                0.53926,                0.56417,                0.37074,                 1.1521,                 1.4941,                   1.36,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.0941,                 1.7496,                 1.3516,                0.66413,                 0.5332,                0.58274,                0.38344,                 1.1645,                 1.4939,                 1.3782,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.0721,                  1.652,                 1.3267,                0.65714,                0.54109,                0.58183,                0.38319,                 1.1473,                 1.4899,                 1.3622,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.0633,                 1.6113,                 1.3255,                0.66629,                0.56362,                0.60975,                0.40259,                 1.1602,                 1.4308,                 1.3562,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.0628,                 1.5614,                 1.3201,                0.65968,                0.55881,                0.60264,                0.40512,                 1.1281,                 1.4102,                 1.3444,              0.0003881,              0.0003881,              0.0003881
                      9,                 1.0533,                 1.5286,                 1.3117,                0.67596,                0.56892,                0.62294,                0.42147,                 1.1248,                 1.3608,                 1.3377,             0.00038397,             0.00038397,             0.00038397
                     10,                  1.043,                 1.4865,                 1.3105,                0.69933,                0.57341,                0.62935,                0.42878,                 1.1076,                 1.3316,                 1.3319,             0.00037985,             0.00037985,             0.00037985
                     11,                 1.0347,                 1.4624,                 1.3038,                0.69931,                0.55605,                0.62589,                0.42363,                 1.1314,                 1.3582,                 1.3392,             0.00037572,             0.00037572,             0.00037572
                     12,                 1.0245,                 1.4124,                 1.2969,                0.69561,                0.58193,                0.63489,                0.43019,                 1.0988,                 1.3262,                 1.3142,             0.00037159,             0.00037159,             0.00037159
