                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66267,                0.71275,                 1.0828,                0.70755,                0.52257,                0.55012,                0.35954,                 1.2235,                 1.5322,                 1.4822,             0.00013859,             0.00013859,             0.00013859
                      2,                0.69136,                0.76845,                 1.0993,                0.66103,                0.53061,                0.54302,                0.35133,                 1.2333,                 1.5285,                  1.484,             0.00027485,             0.00027485,             0.00027485
                      3,                0.73576,                0.82926,                 1.1208,                0.63976,                0.53712,                0.52591,                0.33646,                 1.2586,                 1.5341,                 1.5108,             0.00040835,             0.00040835,             0.00040835
                      4,                0.75822,                0.88113,                 1.1437,                0.64342,                 0.5119,                0.50359,                0.31587,                 1.2672,                 1.5184,                 1.4963,             0.00040462,             0.00040462,             0.00040462
                      5,                0.75981,                0.87699,                 1.1385,                0.61858,                0.53165,                 0.5181,                0.32785,                 1.2598,                 1.5004,                 1.4983,             0.00040049,             0.00040049,             0.00040049
                      6,                0.76989,                0.89247,                 1.1458,                0.68582,                0.51605,                0.52754,                0.33363,                 1.2669,                 1.4753,                  1.507,             0.00039636,             0.00039636,             0.00039636
                      7,                0.76062,                0.88634,                 1.1419,                 0.6572,                 0.5248,                0.52543,                0.33192,                 1.2615,                  1.499,                  1.501,             0.00039223,             0.00039223,             0.00039223
                      8,                0.76666,                0.89082,                 1.1481,                0.65037,                0.49969,                0.50254,                0.31642,                 1.2663,                   1.52,                 1.4982,              0.0003881,              0.0003881,              0.0003881
                      9,                0.76363,                0.88783,                 1.1456,                0.62621,                0.51685,                0.51293,                0.32482,                 1.2807,                 1.5832,                 1.5021,             0.00038397,             0.00038397,             0.00038397
                     10,                0.76573,                0.87913,                 1.1455,                0.65851,                0.51307,                0.51696,                0.32609,                 1.2603,                 1.4758,                 1.4886,             0.00037985,             0.00037985,             0.00037985
                     11,                0.76907,                0.88478,                  1.147,                0.61705,                 0.5283,                0.51043,                0.32456,                 1.2758,                 1.5555,                 1.5179,             0.00037572,             0.00037572,             0.00037572
                     12,                0.75557,                0.86086,                 1.1386,                0.65821,                 0.5042,                0.51126,                0.32718,                 1.2508,                 1.5375,                 1.4809,             0.00037159,             0.00037159,             0.00037159
                     13,                0.75362,                0.85286,                  1.136,                0.64918,                0.53019,                0.53333,                0.34243,                 1.2513,                 1.4649,                 1.4764,             0.00036746,             0.00036746,             0.00036746
                     14,                0.75866,                0.87149,                 1.1391,                0.66842,                0.51379,                0.52298,                0.33326,                 1.2465,                 1.4915,                 1.4855,             0.00036333,             0.00036333,             0.00036333
                     15,                0.74991,                0.84544,                 1.1372,                 0.6653,                0.51349,                0.52101,                0.33195,                 1.2458,                 1.5156,                 1.4756,              0.0003592,              0.0003592,              0.0003592
                     16,                 0.7509,                0.84456,                 1.1362,                0.65635,                0.52136,                0.52419,                0.33023,                 1.2699,                 1.4475,                 1.4932,             0.00035508,             0.00035508,             0.00035508
                     17,                0.74718,                 0.8441,                 1.1354,                0.67497,                0.51641,                0.52677,                0.33627,                 1.2632,                 1.4751,                 1.4904,             0.00035095,             0.00035095,             0.00035095
                     18,                0.74434,                0.83237,                 1.1295,                0.66376,                0.51239,                0.52244,                0.33144,                 1.2703,                 1.5074,                 1.5187,             0.00034682,             0.00034682,             0.00034682
                     19,                0.73992,                0.83585,                 1.1276,                0.65877,                0.52251,                0.52328,                0.33494,                 1.2478,                  1.471,                 1.4804,             0.00034269,             0.00034269,             0.00034269
                     20,                0.73835,                0.83582,                 1.1308,                0.66463,                0.51757,                0.52856,                0.33791,                 1.2394,                  1.483,                 1.4705,             0.00033856,             0.00033856,             0.00033856
                     21,                0.74701,                0.83074,                 1.1306,                0.66155,                0.52595,                0.53124,                0.33913,                 1.2474,                 1.4424,                 1.4894,             0.00033443,             0.00033443,             0.00033443
                     22,                0.73441,                0.82075,                 1.1244,                0.64675,                0.52142,                0.51883,                0.32869,                 1.2538,                 1.4826,                 1.4942,             0.00033031,             0.00033031,             0.00033031
                     23,                 0.7343,                0.83119,                 1.1266,                0.66976,                0.51413,                0.52258,                 0.3314,                 1.2611,                 1.5129,                 1.5056,             0.00032618,             0.00032618,             0.00032618
                     24,                0.73286,                0.81021,                 1.1238,                0.66663,                0.53508,                0.53027,                0.33935,                 1.2358,                 1.4472,                 1.4712,             0.00032205,             0.00032205,             0.00032205
                     25,                 0.7343,                0.80498,                 1.1242,                0.66206,                0.52936,                0.52307,                0.33575,                 1.2382,                 1.4682,                 1.4823,             0.00031792,             0.00031792,             0.00031792
                     26,                 0.7221,                 0.8011,                 1.1124,                0.68075,                0.52812,                0.53721,                0.34492,                 1.2403,                 1.4537,                 1.4887,             0.00031379,             0.00031379,             0.00031379
                     27,                0.72038,                 0.7991,                 1.1175,                 0.6897,                0.52717,                0.54123,                0.34651,                 1.2607,                 1.4849,                 1.4922,             0.00030966,             0.00030966,             0.00030966
                     28,                 0.7253,                0.80018,                 1.1154,                0.66358,                0.51892,                0.52934,                0.34078,                 1.2356,                 1.4547,                 1.4818,             0.00030554,             0.00030554,             0.00030554
                     29,                0.71458,                0.79084,                 1.1137,                0.66091,                 0.5189,                0.52436,                0.33661,                 1.2644,                 1.5122,                 1.5167,             0.00030141,             0.00030141,             0.00030141
                     30,                0.72391,                0.78844,                 1.1191,                0.67328,                0.52635,                0.52902,                0.33784,                 1.2578,                  1.484,                 1.5056,             0.00029728,             0.00029728,             0.00029728
                     31,                0.72188,                0.78711,                 1.1166,                0.64551,                0.55005,                0.54186,                 0.3506,                 1.2428,                 1.4793,                 1.4861,             0.00029315,             0.00029315,             0.00029315
                     32,                0.71094,                0.77097,                  1.107,                0.67682,                0.53207,                0.54216,                0.34809,                 1.2325,                 1.4383,                 1.4797,             0.00028902,             0.00028902,             0.00028902
                     33,                0.70608,                0.77222,                 1.1058,                0.69517,                0.51893,                0.54106,                0.35196,                  1.238,                 1.5085,                   1.49,             0.00028489,             0.00028489,             0.00028489
                     34,                0.70897,                0.76835,                 1.1072,                0.68223,                0.52059,                0.53399,                0.34228,                  1.238,                 1.4716,                 1.5032,             0.00028077,             0.00028077,             0.00028077
                     35,                0.70029,                0.75852,                 1.1009,                0.68841,                0.53434,                0.54407,                 0.3497,                 1.2321,                 1.4316,                 1.4894,             0.00027664,             0.00027664,             0.00027664
                     36,                0.70129,                0.75115,                  1.101,                0.67721,                0.52728,                0.53078,                0.34173,                 1.2353,                 1.4397,                 1.4845,             0.00027251,             0.00027251,             0.00027251
                     37,                0.70719,                0.76669,                 1.1039,                0.67078,                0.53819,                0.53961,                0.34726,                 1.2249,                 1.4288,                 1.4808,             0.00026838,             0.00026838,             0.00026838
                     38,                0.69122,                 0.7506,                 1.0984,                0.66518,                0.52083,                0.52915,                0.34143,                 1.2395,                 1.5073,                 1.4855,             0.00026425,             0.00026425,             0.00026425
                     39,                0.69382,                0.75054,                    1.1,                0.69473,                0.52048,                0.54466,                0.34917,                 1.2399,                 1.4691,                 1.4983,             0.00026012,             0.00026012,             0.00026012
                     40,                0.69805,                0.74602,                 1.0998,                0.68497,                0.52767,                0.53909,                0.34741,                 1.2443,                 1.4822,                 1.4977,               0.000256,               0.000256,               0.000256
                     41,                0.69673,                0.74557,                 1.0952,                0.67002,                0.53279,                0.53464,                0.34549,                  1.238,                 1.4629,                 1.4879,             0.00025187,             0.00025187,             0.00025187
                     42,                0.69246,                0.73728,                 1.0972,                0.66916,                0.53527,                0.54274,                0.34894,                 1.2552,                 1.5108,                  1.506,             0.00024774,             0.00024774,             0.00024774
                     43,                0.68783,                0.73235,                 1.0966,                0.65288,                0.54752,                0.54122,                0.34936,                 1.2366,                 1.4701,                  1.493,             0.00024361,             0.00024361,             0.00024361
