                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0127,                 3.7244,                  1.243,                0.06312,                0.65386,                0.26576,                0.19863,                0.92699,                 3.1483,                 1.1598,             0.00013699,             0.00013699,             0.00013699
                      2,                 1.1146,                 2.5283,                 1.3222,                0.62211,                0.48769,                0.50149,                0.32707,                 1.1023,                 1.8063,                 1.3195,             0.00027325,             0.00027325,             0.00027325
                      3,                 1.1317,                 2.0877,                 1.3332,                0.56878,                0.53047,                0.49324,                0.31326,                 1.1331,                 1.7178,                 1.3551,             0.00040677,             0.00040677,             0.00040677
                      4,                 1.1238,                 2.0092,                 1.3444,                0.59717,                0.50727,                0.48937,                0.30837,                 1.1544,                 1.8067,                 1.4102,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.1179,                 1.8934,                 1.3162,                0.55277,                0.54266,                0.47568,                0.29663,                 1.1898,                 1.7673,                 1.3999,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.1256,                 1.8487,                 1.3242,                0.58498,                0.53233,                 0.5128,                 0.3213,                 1.1765,                 1.6261,                 1.3958,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.1084,                 1.8352,                 1.3272,                0.60994,                 0.5479,                0.53573,                0.33774,                 1.1886,                 1.6431,                 1.3966,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.0865,                 1.7714,                 1.3095,                0.59481,                0.49225,                0.48192,                0.30082,                 1.1869,                 1.7271,                 1.3934,              0.0003881,              0.0003881,              0.0003881
                      9,                 1.0814,                 1.7008,                 1.3043,                0.58201,                0.53849,                0.50953,                 0.3199,                 1.1785,                 1.6412,                 1.3835,             0.00038397,             0.00038397,             0.00038397
                     10,                 1.0516,                 1.6516,                 1.2938,                0.62915,                 0.5375,                0.53771,                0.33975,                 1.1785,                 1.5435,                 1.3997,             0.00037985,             0.00037985,             0.00037985
