                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0211,                 3.6031,                 1.2597,                0.76101,                0.18858,                0.35187,                0.25612,                0.96493,                 2.9962,                 1.1743,             0.00013728,             0.00013728,             0.00013728
                      2,                 1.1214,                 2.4669,                 1.3364,                0.61518,                0.50444,                0.54163,                0.36915,                 1.0668,                 1.9166,                 1.2958,             0.00027355,             0.00027355,             0.00027355
                      3,                 1.1667,                 2.1545,                 1.3623,                0.56288,                0.45889,                0.47838,                0.30512,                 1.1804,                 2.0962,                 1.3874,             0.00040706,             0.00040706,             0.00040706
                      4,                 1.1693,                 2.0738,                 1.3735,                0.54036,                0.51244,                0.50509,                 0.3195,                 1.1905,                 1.9742,                 1.4064,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.1438,                 1.9821,                   1.35,                0.57485,                0.46885,                0.49269,                0.31766,                  1.189,                 1.9699,                 1.3963,             0.00040049,             0.00040049,             0.00040049
                      6,                  1.133,                 1.9352,                 1.3388,                0.57319,                0.48206,                0.49548,                0.32075,                 1.2022,                 1.9576,                 1.4111,             0.00039636,             0.00039636,             0.00039636
                      7,                 1.1236,                 1.9064,                 1.3472,                 0.6071,                0.48118,                0.51791,                0.33681,                  1.197,                 1.9256,                 1.4114,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.1029,                 1.8242,                 1.3281,                0.62837,                0.51477,                0.55238,                0.36282,                 1.1804,                 1.8102,                  1.394,              0.0003881,              0.0003881,              0.0003881
                      9,                 1.0937,                 1.7302,                 1.3145,                0.60157,                0.51184,                0.52627,                0.34482,                 1.1497,                 1.8031,                 1.3814,             0.00038397,             0.00038397,             0.00038397
                     10,                 1.0669,                 1.7239,                 1.3124,                0.60887,                0.50664,                 0.5411,                0.35467,                 1.1819,                 1.7916,                  1.402,             0.00037985,             0.00037985,             0.00037985
                     11,                   1.06,                 1.6551,                 1.2975,                0.63984,                0.52489,                0.56454,                0.36498,                 1.1721,                 1.7092,                 1.3741,             0.00037572,             0.00037572,             0.00037572
                     12,                 1.0638,                 1.6678,                 1.3047,                0.63938,                0.53315,                 0.5667,                0.37622,                 1.1627,                 1.7136,                 1.3812,             0.00037159,             0.00037159,             0.00037159
                     13,                 1.0575,                 1.6133,                 1.2842,                0.62619,                0.52882,                0.55639,                0.36627,                  1.148,                 1.6637,                 1.3699,             0.00036746,             0.00036746,             0.00036746
                     14,                 1.0344,                 1.5845,                 1.2768,                0.62385,                0.53515,                0.55913,                0.36699,                 1.1621,                 1.6615,                 1.3783,             0.00036333,             0.00036333,             0.00036333
                     15,                 1.0474,                  1.533,                 1.2752,                0.63699,                0.49906,                  0.538,                0.34898,                  1.172,                  1.738,                 1.3996,              0.0003592,              0.0003592,              0.0003592
                     16,                 1.0224,                 1.5033,                   1.26,                0.65909,                0.51558,                0.56076,                0.36472,                 1.1793,                 1.6761,                 1.3992,             0.00035508,             0.00035508,             0.00035508
                     17,                 1.0127,                 1.4777,                 1.2531,                0.65441,                0.53728,                0.57581,                0.38266,                 1.1562,                 1.5904,                 1.3635,             0.00035095,             0.00035095,             0.00035095
                     18,                 1.0051,                 1.4571,                  1.239,                 0.6069,                0.53802,                0.56031,                0.37056,                 1.1722,                 1.6815,                 1.3767,             0.00034682,             0.00034682,             0.00034682
                     19,                  1.019,                 1.4365,                  1.243,                 0.6422,                0.53146,                0.56296,                0.37374,                  1.127,                 1.5696,                 1.3535,             0.00034269,             0.00034269,             0.00034269
                     20,                0.98888,                 1.4349,                 1.2474,                0.62538,                0.53751,                0.56651,                0.37452,                 1.1503,                 1.5776,                 1.3719,             0.00033856,             0.00033856,             0.00033856
                     21,                0.99766,                 1.3863,                  1.245,                 0.6279,                0.54536,                0.56179,                 0.3658,                 1.1665,                 1.6029,                 1.3831,             0.00033443,             0.00033443,             0.00033443
                     22,                0.98118,                 1.3798,                 1.2285,                0.65775,                0.54197,                0.58501,                0.38178,                 1.1805,                 1.5475,                 1.4059,             0.00033031,             0.00033031,             0.00033031
                     23,                0.97336,                 1.3719,                 1.2406,                0.65803,                0.54322,                0.57764,                0.38544,                 1.1591,                 1.5365,                 1.3699,             0.00032618,             0.00032618,             0.00032618
                     24,                0.97937,                 1.3547,                 1.2264,                 0.6573,                0.53724,                0.58073,                0.37887,                 1.1797,                 1.5144,                  1.392,             0.00032205,             0.00032205,             0.00032205
                     25,                0.97728,                  1.295,                 1.2127,                  0.657,                0.55147,                0.58931,                0.38917,                 1.1715,                 1.5128,                 1.3733,             0.00031792,             0.00031792,             0.00031792
                     26,                0.96396,                 1.2988,                 1.2178,                0.66079,                0.52559,                0.58021,                0.37605,                 1.1749,                   1.54,                 1.3806,             0.00031379,             0.00031379,             0.00031379
                     27,                0.96122,                 1.2843,                 1.2164,                0.67123,                0.52766,                0.57751,                0.38088,                 1.1776,                 1.5244,                 1.3808,             0.00030966,             0.00030966,             0.00030966
                     28,                0.95646,                 1.2596,                 1.2083,                 0.6818,                0.53887,                 0.5887,                0.39366,                 1.1515,                 1.4777,                 1.3563,             0.00030554,             0.00030554,             0.00030554
                     29,                 0.9461,                 1.2167,                 1.1926,                0.65921,                0.54705,                0.59106,                0.39639,                 1.1393,                 1.4749,                 1.3591,             0.00030141,             0.00030141,             0.00030141
                     30,                0.92765,                 1.2028,                 1.1966,                0.66342,                 0.5398,                0.58879,                0.38882,                 1.1602,                 1.4708,                 1.3776,             0.00029728,             0.00029728,             0.00029728
                     31,                0.93294,                 1.2233,                 1.1967,                0.65348,                0.54105,                0.58273,                0.38795,                 1.1728,                 1.5217,                 1.3874,             0.00029315,             0.00029315,             0.00029315
                     32,                0.92186,                  1.175,                 1.1786,                 0.6806,                0.53971,                0.58831,                0.38684,                 1.1647,                 1.4942,                 1.3753,             0.00028902,             0.00028902,             0.00028902
                     33,                0.92207,                 1.1558,                 1.1782,                0.68634,                0.54447,                0.59772,                0.39915,                 1.1447,                 1.4495,                  1.352,             0.00028489,             0.00028489,             0.00028489
                     34,                0.90698,                 1.1539,                 1.1801,                0.68162,                0.54823,                0.60415,                0.40828,                 1.1305,                 1.4572,                 1.3525,             0.00028077,             0.00028077,             0.00028077
                     35,                 0.9081,                 1.1517,                  1.178,                0.67533,                0.55286,                0.60088,                0.40519,                 1.1563,                 1.4699,                 1.3739,             0.00027664,             0.00027664,             0.00027664
                     36,                0.88955,                 1.1188,                 1.1683,                0.68625,                0.54987,                0.59535,                0.40174,                 1.1541,                  1.449,                   1.36,             0.00027251,             0.00027251,             0.00027251
                     37,                0.91249,                 1.1443,                 1.1879,                 0.6821,                0.54671,                0.59267,                0.39975,                 1.1604,                 1.4779,                 1.3719,             0.00026838,             0.00026838,             0.00026838
                     38,                0.88696,                 1.1262,                 1.1642,                0.68462,                0.55413,                0.60247,                0.40639,                  1.143,                 1.4569,                 1.3773,             0.00026425,             0.00026425,             0.00026425
                     39,                0.87017,                 1.0863,                 1.1601,                0.68991,                0.54872,                0.60464,                0.40837,                 1.1603,                 1.4409,                 1.3762,             0.00026012,             0.00026012,             0.00026012
                     40,                0.88812,                  1.074,                 1.1663,                0.66657,                0.55177,                0.58784,                0.39617,                 1.1583,                 1.4661,                 1.3721,               0.000256,               0.000256,               0.000256
                     41,                0.87046,                 1.0787,                 1.1552,                0.69915,                0.55273,                0.60521,                0.40923,                 1.1412,                 1.4151,                 1.3624,             0.00025187,             0.00025187,             0.00025187
                     42,                0.88738,                 1.0656,                 1.1568,                0.68333,                0.55753,                0.60462,                0.40742,                 1.1532,                 1.4385,                 1.3727,             0.00024774,             0.00024774,             0.00024774
                     43,                0.87578,                 1.0845,                 1.1591,                0.70049,                 0.5517,                0.60322,                0.40618,                 1.1662,                 1.4339,                 1.3761,             0.00024361,             0.00024361,             0.00024361
                     44,                0.85087,                 1.0131,                 1.1453,                0.70036,                0.55522,                0.60839,                0.41175,                 1.1441,                 1.4208,                 1.3685,             0.00023948,             0.00023948,             0.00023948
                     45,                0.86236,                 1.0223,                 1.1424,                0.68053,                0.54984,                0.59159,                0.39524,                 1.1789,                 1.4721,                 1.3964,             0.00023535,             0.00023535,             0.00023535
                     46,                0.83737,                 1.0209,                 1.1343,                0.69246,                0.54653,                0.59422,                0.40233,                 1.1537,                 1.4393,                 1.3706,             0.00023123,             0.00023123,             0.00023123
                     47,                0.85817,                 1.0059,                 1.1368,                 0.6763,                0.56728,                0.61306,                0.41461,                 1.1411,                 1.3979,                 1.3676,              0.0002271,              0.0002271,              0.0002271
                     48,                0.84424,                0.98078,                 1.1333,                0.70216,                 0.5565,                0.60559,                0.40956,                 1.1597,                 1.4097,                 1.3761,             0.00022297,             0.00022297,             0.00022297
                     49,                0.83953,                0.97337,                 1.1281,                0.69394,                0.55737,                0.60836,                0.41159,                 1.1411,                 1.3968,                 1.3673,             0.00021884,             0.00021884,             0.00021884
                     50,                0.84707,                0.98558,                 1.1281,                0.69272,                0.54366,                0.59833,                0.40727,                 1.1207,                 1.4227,                 1.3505,             0.00021471,             0.00021471,             0.00021471
                     51,                0.83116,                0.97438,                 1.1326,                0.70617,                0.56118,                0.62154,                0.42487,                 1.1409,                 1.3715,                 1.3656,             0.00021059,             0.00021059,             0.00021059
                     52,                0.83555,                0.94333,                 1.1262,                 0.6951,                0.57668,                0.62241,                0.41828,                 1.1391,                 1.3731,                 1.3663,             0.00020646,             0.00020646,             0.00020646
                     53,                0.81842,                0.93723,                 1.1173,                0.69847,                 0.5736,                 0.6142,                0.41823,                 1.1334,                 1.3711,                 1.3639,             0.00020233,             0.00020233,             0.00020233
                     54,                0.80969,                0.91462,                  1.108,                 0.6935,                0.56395,                0.61285,                0.41364,                 1.1347,                 1.3654,                 1.3589,              0.0001982,              0.0001982,              0.0001982
                     55,                0.82159,                0.91052,                 1.1177,                0.69136,                0.56732,                0.61414,                0.41914,                 1.1495,                 1.3885,                 1.3773,             0.00019407,             0.00019407,             0.00019407
                     56,                0.79769,                0.90835,                 1.1093,                0.68437,                0.57479,                0.61883,                0.42394,                 1.1357,                 1.3755,                 1.3567,             0.00018994,             0.00018994,             0.00018994
                     57,                0.81412,                 0.9168,                 1.1189,                0.69697,                0.55921,                0.60939,                0.41611,                 1.1433,                 1.4072,                 1.3685,             0.00018582,             0.00018582,             0.00018582
                     58,                0.81376,                0.89794,                 1.1163,                0.69395,                0.57018,                0.61931,                 0.4182,                 1.1507,                 1.3608,                 1.3776,             0.00018169,             0.00018169,             0.00018169
                     59,                 0.8102,                0.89717,                 1.1139,                0.69431,                0.57494,                0.62301,                0.42553,                 1.1304,                 1.3567,                 1.3571,             0.00017756,             0.00017756,             0.00017756
                     60,                0.78417,                0.88593,                 1.0982,                 0.7023,                0.56289,                0.61808,                0.42102,                 1.1321,                 1.3638,                 1.3621,             0.00017343,             0.00017343,             0.00017343
                     61,                0.77754,                0.85703,                 1.0944,                 0.7007,                0.56756,                0.61173,                0.41812,                 1.1459,                 1.3946,                 1.3703,              0.0001693,              0.0001693,              0.0001693
                     62,                 0.7771,                0.86362,                 1.0946,                0.68788,                 0.5723,                0.61735,                  0.422,                 1.1374,                 1.3604,                  1.368,             0.00016517,             0.00016517,             0.00016517
                     63,                 0.7932,                0.87468,                    1.1,                 0.7207,                0.55663,                0.62124,                0.42603,                 1.1305,                 1.3575,                 1.3559,             0.00016105,             0.00016105,             0.00016105
                     64,                0.78437,                0.87691,                    1.1,                0.69771,                0.56673,                0.61613,                0.41942,                 1.1436,                 1.3563,                 1.3663,             0.00015692,             0.00015692,             0.00015692
                     65,                0.78496,                0.85861,                 1.0939,                0.72327,                0.55624,                0.61981,                0.42713,                 1.1308,                 1.3577,                 1.3635,             0.00015279,             0.00015279,             0.00015279
                     66,                 0.7773,                0.84693,                 1.1001,                0.71523,                0.55734,                 0.6164,                0.42148,                 1.1526,                 1.3755,                 1.3868,             0.00014866,             0.00014866,             0.00014866
                     67,                0.77771,                0.84888,                 1.0858,                0.70329,                0.57121,                0.62714,                0.42815,                 1.1314,                 1.3315,                 1.3539,             0.00014453,             0.00014453,             0.00014453
                     68,                0.77339,                0.83259,                 1.0841,                0.70429,                0.58013,                0.62545,                0.42875,                 1.1368,                 1.3345,                 1.3631,              0.0001404,              0.0001404,              0.0001404
                     69,                0.76074,                0.82789,                  1.081,                0.71136,                0.57344,                 0.6267,                0.43015,                 1.1354,                 1.3403,                 1.3618,             0.00013628,             0.00013628,             0.00013628
                     70,                0.76157,                0.81323,                 1.0826,                0.69723,                0.58112,                0.62717,                0.43031,                 1.1197,                  1.334,                 1.3502,             0.00013215,             0.00013215,             0.00013215
                     71,                0.76721,                0.82322,                 1.0883,                 0.7098,                0.57729,                0.62377,                0.43094,                 1.1271,                 1.3568,                 1.3551,             0.00012802,             0.00012802,             0.00012802
                     72,                0.76371,                0.80006,                 1.0785,                0.73055,                0.56462,                0.62735,                0.42925,                 1.1316,                 1.3298,                 1.3649,             0.00012389,             0.00012389,             0.00012389
                     73,                0.75782,                0.79889,                 1.0744,                0.71397,                0.56963,                0.62639,                0.43075,                 1.1371,                 1.3538,                 1.3681,             0.00011976,             0.00011976,             0.00011976
                     74,                0.74225,                 0.7909,                 1.0776,                0.70997,                 0.5693,                0.62267,                0.42667,                 1.1355,                 1.3397,                 1.3622,             0.00011563,             0.00011563,             0.00011563
                     75,                0.75799,                0.80088,                 1.0816,                0.73486,                 0.5667,                0.62492,                0.42745,                 1.1419,                 1.3422,                 1.3657,             0.00011151,             0.00011151,             0.00011151
                     76,                0.74012,                0.80028,                 1.0734,                0.74132,                0.56271,                 0.6313,                0.43538,                 1.1324,                 1.3291,                 1.3601,             0.00010738,             0.00010738,             0.00010738
                     77,                0.74166,                 0.7895,                 1.0709,                0.71721,                0.57573,                0.62544,                0.43058,                 1.1297,                  1.341,                 1.3637,             0.00010325,             0.00010325,             0.00010325
                     78,                0.72168,                0.76003,                 1.0609,                0.71045,                0.58149,                 0.6289,                 0.4356,                 1.1295,                 1.3396,                 1.3657,             9.9121e-05,             9.9121e-05,             9.9121e-05
                     79,                0.73397,                0.77091,                 1.0652,                0.70974,                0.58725,                0.63126,                0.43697,                 1.1247,                 1.3209,                 1.3572,             9.4993e-05,             9.4993e-05,             9.4993e-05
                     80,                0.72503,                0.76228,                 1.0656,                0.70878,                0.57914,                 0.6298,                0.43423,                  1.135,                 1.3302,                 1.3652,             9.0864e-05,             9.0864e-05,             9.0864e-05
                     81,                0.72774,                0.76635,                 1.0671,                0.71987,                0.57813,                0.63309,                0.43552,                 1.1347,                 1.3264,                 1.3659,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     82,                0.72525,                0.76772,                 1.0664,                0.74457,                0.56201,                 0.6344,                0.43721,                 1.1292,                  1.335,                 1.3688,             8.2608e-05,             8.2608e-05,             8.2608e-05
                     83,                0.72348,                 0.7521,                 1.0592,                0.71591,                0.57896,                0.63375,                0.43598,                 1.1219,                 1.3066,                 1.3563,             7.8479e-05,             7.8479e-05,             7.8479e-05
                     84,                0.71894,                0.74498,                 1.0639,                0.71662,                0.57717,                 0.6289,                0.43249,                 1.1346,                 1.3242,                 1.3709,             7.4351e-05,             7.4351e-05,             7.4351e-05
                     85,                0.72732,                0.75986,                 1.0615,                0.71563,                0.58239,                0.63577,                0.43857,                 1.1273,                 1.3177,                 1.3595,             7.0223e-05,             7.0223e-05,             7.0223e-05
                     86,                0.70704,                0.73463,                 1.0535,                0.72705,                0.56932,                0.63344,                0.43811,                 1.1235,                 1.3167,                 1.3608,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     87,                0.72025,                0.73068,                 1.0502,                0.73151,                0.57565,                0.63381,                0.43697,                 1.1283,                 1.3177,                 1.3607,             6.1966e-05,             6.1966e-05,             6.1966e-05
                     88,                0.69893,                0.73562,                 1.0561,                0.71378,                0.58097,                0.62806,                0.43374,                 1.1317,                 1.3404,                 1.3671,             5.7838e-05,             5.7838e-05,             5.7838e-05
                     89,                0.69807,                 0.7299,                 1.0478,                 0.7257,                0.57527,                0.63418,                0.43696,                 1.1345,                 1.3153,                 1.3681,              5.371e-05,              5.371e-05,              5.371e-05
                     90,                0.69424,                0.73534,                 1.0513,                0.72616,                0.58494,                0.63723,                0.44054,                 1.1255,                 1.3033,                 1.3618,             4.9581e-05,             4.9581e-05,             4.9581e-05
                     91,                0.69289,                0.75344,                 1.0256,                0.70968,                0.55658,                0.60391,                0.41087,                 1.1588,                 1.3849,                 1.4089,             4.5453e-05,             4.5453e-05,             4.5453e-05
                     92,                0.65867,                0.63323,                0.99199,                0.69594,                0.57122,                0.61303,                0.41865,                 1.1468,                 1.3587,                 1.3984,             4.1325e-05,             4.1325e-05,             4.1325e-05
                     93,                0.65196,                0.62134,                0.99575,                0.71696,                0.56914,                0.62241,                0.42718,                 1.1354,                 1.3359,                 1.3854,             3.7196e-05,             3.7196e-05,             3.7196e-05
                     94,                0.65303,                0.60534,                0.99404,                0.71457,                0.57433,                0.62622,                0.43161,                 1.1336,                 1.3277,                 1.3864,             3.3068e-05,             3.3068e-05,             3.3068e-05
                     95,                0.63473,                0.59838,                0.99657,                0.72593,                0.56945,                0.62791,                0.43365,                 1.1304,                 1.3331,                 1.3825,              2.894e-05,              2.894e-05,              2.894e-05
                     96,                0.63033,                0.58076,                0.99137,                0.71576,                0.57545,                0.62828,                0.43366,                 1.1292,                 1.3333,                 1.3792,             2.4812e-05,             2.4812e-05,             2.4812e-05
