                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68757,                 1.1696,                 1.0996,                 0.6503,                0.52268,                0.55442,                0.36778,                 1.1897,                 1.7317,                 1.4259,             0.00013815,             0.00013815,             0.00013815
                      2,                0.73154,                  1.244,                 1.1226,                0.62209,                0.49676,                0.52836,                0.34176,                 1.2285,                 1.7032,                  1.443,             0.00027441,             0.00027441,             0.00027441
                      3,                0.79078,                 1.2966,                 1.1576,                0.58096,                0.45396,                0.47376,                0.30117,                 1.2811,                 1.8514,                  1.507,             0.00040791,             0.00040791,             0.00040791
                      4,                0.80403,                 1.3099,                 1.1658,                0.59305,                0.45703,                0.47078,                0.29913,                 1.2944,                 1.9238,                 1.5232,             0.00040462,             0.00040462,             0.00040462
                      5,                0.80086,                 1.2962,                 1.1657,                0.59488,                0.46015,                0.48561,                0.31128,                 1.2955,                 1.8628,                 1.5072,             0.00040049,             0.00040049,             0.00040049
                      6,                0.81402,                 1.2897,                 1.1708,                 0.5924,                 0.4721,                0.49339,                0.31205,                 1.3057,                 1.7433,                  1.506,             0.00039636,             0.00039636,             0.00039636
                      7,                0.80104,                 1.2558,                 1.1607,                0.59224,                0.44792,                0.47715,                0.29825,                 1.3431,                 1.8678,                 1.5554,             0.00039223,             0.00039223,             0.00039223
                      8,                0.80297,                 1.2394,                 1.1615,                  0.594,                0.46936,                0.49422,                0.31558,                 1.2826,                  1.756,                 1.4868,              0.0003881,              0.0003881,              0.0003881
                      9,                0.78715,                 1.1982,                 1.1532,                0.61645,                0.47052,                0.50436,                0.32748,                 1.2682,                 1.7617,                 1.4786,             0.00038397,             0.00038397,             0.00038397
                     10,                 0.7764,                 1.1841,                 1.1483,                0.60767,                0.47967,                0.49917,                0.31951,                 1.2906,                 1.8297,                 1.5026,             0.00037985,             0.00037985,             0.00037985
                     11,                0.77498,                 1.1776,                 1.1489,                 0.6134,                 0.4698,                0.49672,                0.32723,                 1.2508,                  1.772,                 1.4621,             0.00037572,             0.00037572,             0.00037572
                     12,                0.77108,                 1.1376,                 1.1417,                0.61007,                0.46294,                0.49421,                0.31674,                 1.2986,                 1.8641,                 1.5357,             0.00037159,             0.00037159,             0.00037159
                     13,                0.75829,                 1.1285,                 1.1435,                0.60159,                0.45566,                0.48438,                0.31676,                 1.2777,                 1.8361,                 1.4931,             0.00036746,             0.00036746,             0.00036746
                     14,                0.75484,                 1.0903,                 1.1321,                0.62013,                0.47739,                0.51503,                0.34076,                 1.2628,                 1.7787,                 1.4821,             0.00036333,             0.00036333,             0.00036333
                     15,                0.76014,                 1.0936,                 1.1339,                0.61798,                0.48275,                0.51705,                 0.3372,                 1.2817,                 1.7973,                 1.5033,              0.0003592,              0.0003592,              0.0003592
                     16,                0.73556,                 1.0482,                 1.1204,                0.63528,                0.47564,                0.52184,                  0.343,                 1.2651,                 1.7399,                 1.4678,             0.00035508,             0.00035508,             0.00035508
                     17,                0.73258,                  1.023,                  1.119,                0.62722,                 0.4876,                0.51755,                0.33799,                 1.2761,                 1.7205,                 1.4854,             0.00035095,             0.00035095,             0.00035095
                     18,                0.73257,                 1.0175,                 1.1172,                0.59813,                0.48507,                0.50747,                0.33257,                 1.2539,                 1.7238,                 1.4846,             0.00034682,             0.00034682,             0.00034682
                     19,                0.72665,                0.99911,                 1.1189,                0.61979,                0.46797,                0.50564,                0.33044,                 1.2736,                 1.7801,                 1.4898,             0.00034269,             0.00034269,             0.00034269
                     20,                0.72294,                0.99947,                 1.1071,                0.63887,                0.47518,                0.51806,                0.33421,                 1.2996,                 1.7287,                  1.535,             0.00033856,             0.00033856,             0.00033856
                     21,                0.71665,                0.98364,                 1.1083,                0.62941,                0.47489,                0.50958,                0.33211,                 1.3025,                 1.8341,                 1.5271,             0.00033443,             0.00033443,             0.00033443
                     22,                0.70636,                0.96585,                 1.0999,                0.64604,                0.46812,                0.51834,                0.34268,                 1.2662,                 1.8108,                 1.4833,             0.00033031,             0.00033031,             0.00033031
                     23,                0.71505,                  0.962,                 1.1059,                 0.6284,                0.47938,                0.51239,                0.33575,                 1.2719,                 1.7084,                 1.4953,             0.00032618,             0.00032618,             0.00032618
                     24,                 0.7052,                0.96241,                 1.1028,                0.63064,                0.47493,                0.50919,                 0.3376,                 1.2808,                 1.7785,                  1.507,             0.00032205,             0.00032205,             0.00032205
                     25,                0.69931,                0.94396,                 1.0992,                0.62626,                0.48424,                0.51008,                 0.3373,                 1.2699,                 1.8169,                 1.4988,             0.00031792,             0.00031792,             0.00031792
                     26,                0.69641,                0.93067,                 1.0983,                0.63388,                0.46935,                0.51398,                0.34097,                 1.2615,                 1.7974,                 1.5004,             0.00031379,             0.00031379,             0.00031379
