                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49559,                0.51272,                0.99548,                0.63544,                0.45171,                0.49599,                0.33967,                 1.3603,                 2.8523,                  1.674,             0.00013821,             0.00013821,             0.00013821
                      2,                0.52687,                0.55031,                 1.0119,                0.62885,                0.46318,                0.49353,                0.32982,                 1.3614,                  2.468,                 1.6529,             0.00027446,             0.00027446,             0.00027446
                      3,                0.56597,                0.59899,                 1.0353,                0.60462,                0.43658,                0.45714,                0.30245,                 1.4285,                 2.7443,                 1.7327,             0.00040796,             0.00040796,             0.00040796
                      4,                0.59612,                 0.6512,                 1.0483,                0.62153,                0.44693,                0.47339,                0.31406,                 1.4095,                  2.442,                 1.6767,             0.00040462,             0.00040462,             0.00040462
                      5,                0.60485,                0.67967,                 1.0525,                0.61596,                0.42855,                0.46702,                0.30915,                 1.4132,                 2.5969,                  1.662,             0.00040049,             0.00040049,             0.00040049
                      6,                0.59945,                0.65278,                 1.0445,                0.58083,                0.45311,                0.47044,                0.30986,                 1.4015,                 2.2572,                 1.6866,             0.00039636,             0.00039636,             0.00039636
                      7,                0.59213,                0.64254,                 1.0432,                0.62357,                0.45078,                 0.4864,                0.32464,                 1.3944,                 2.5571,                 1.6612,             0.00039223,             0.00039223,             0.00039223
                      8,                0.60162,                0.66496,                 1.0543,                0.63159,                0.45946,                0.49163,                 0.3236,                 1.3884,                 2.2625,                 1.6538,              0.0003881,              0.0003881,              0.0003881
                      9,                 0.6135,                 0.6832,                 1.0602,                0.59843,                0.48048,                0.49544,                0.32619,                 1.3797,                 2.2524,                 1.6493,             0.00038397,             0.00038397,             0.00038397
                     10,                0.60123,                0.65676,                 1.0455,                0.60369,                0.47393,                 0.4991,                0.32777,                 1.3706,                 2.0597,                 1.6561,             0.00037985,             0.00037985,             0.00037985
                     11,                0.60833,                0.66001,                 1.0579,                0.58941,                0.44367,                0.46458,                0.30402,                 1.4251,                 2.4347,                 1.7261,             0.00037572,             0.00037572,             0.00037572
                     12,                0.59792,                0.66257,                 1.0561,                0.62504,                0.45821,                0.49175,                0.32265,                 1.3813,                 2.2501,                 1.6672,             0.00037159,             0.00037159,             0.00037159
                     13,                0.60353,                0.65497,                 1.0443,                  0.586,                0.45288,                0.46722,                0.30871,                 1.4149,                 2.4923,                 1.7092,             0.00036746,             0.00036746,             0.00036746
                     14,                0.60015,                0.65464,                 1.0468,                0.61673,                 0.4383,                 0.4713,                0.31265,                  1.398,                 2.3645,                 1.6507,             0.00036333,             0.00036333,             0.00036333
                     15,                0.58891,                0.63882,                 1.0455,                0.61017,                0.46642,                0.49358,                0.32695,                 1.3862,                 2.2739,                 1.6727,              0.0003592,              0.0003592,              0.0003592
                     16,                0.59675,                 0.6428,                 1.0532,                0.62529,                0.45244,                0.48346,                0.31664,                  1.412,                 2.6225,                 1.7071,             0.00035508,             0.00035508,             0.00035508
                     17,                0.59599,                0.63555,                 1.0484,                0.59508,                0.44117,                0.46946,                0.31154,                 1.4064,                 2.6143,                   1.71,             0.00035095,             0.00035095,             0.00035095
