                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.66983,                0.92193,                 1.1117,                0.64711,                0.48924,                0.54048,                0.36855,                 1.2335,                 1.7231,                  1.478,             0.00013771,             0.00013771,             0.00013771
                      2,                0.68218,                0.86934,                 1.1132,                0.66283,                0.48123,                0.52572,                0.34788,                 1.2663,                 1.6903,                 1.5032,             0.00027397,             0.00027397,             0.00027397
                      3,                0.72399,                 0.9115,                 1.1316,                0.63023,                0.46896,                0.50579,                0.33436,                 1.2964,                 1.8821,                 1.5311,             0.00040748,             0.00040748,             0.00040748
                      4,                0.72018,                 0.9186,                 1.1293,                 0.6166,                 0.4373,                0.47393,                 0.3057,                 1.3262,                 1.9238,                 1.5393,             0.00040462,             0.00040462,             0.00040462
                      5,                0.73395,                0.92486,                 1.1271,                  0.601,                0.44047,                0.47619,                0.30648,                 1.3205,                 1.8815,                  1.537,             0.00040049,             0.00040049,             0.00040049
                      6,                0.72687,                0.90256,                   1.13,                0.62697,                0.45347,                 0.4902,                0.31554,                 1.3322,                 1.8766,                  1.565,             0.00039636,             0.00039636,             0.00039636
                      7,                0.72663,                 0.8971,                 1.1298,                0.63069,                0.45631,                0.49484,                0.31629,                 1.3228,                 1.8191,                 1.5631,             0.00039223,             0.00039223,             0.00039223
                      8,                0.69619,                0.85216,                 1.1008,                0.62929,                0.45872,                 0.4998,                0.32222,                 1.3239,                  1.855,                 1.5563,              0.0003881,              0.0003881,              0.0003881
                      9,                 0.7129,                0.86734,                 1.1192,                0.59421,                0.44269,                0.47865,                0.31201,                 1.3171,                 1.8709,                 1.5441,             0.00038397,             0.00038397,             0.00038397
                     10,                0.71353,                0.87165,                 1.1149,                 0.6174,                0.45861,                 0.4973,                0.31788,                 1.3414,                 1.8952,                 1.5919,             0.00037985,             0.00037985,             0.00037985
                     11,                0.70078,                0.85786,                 1.1139,                0.63129,                0.45525,                0.50091,                0.32689,                 1.3164,                 1.9258,                 1.5469,             0.00037572,             0.00037572,             0.00037572
                     12,                0.69329,                0.83859,                 1.1061,                0.61666,                0.47044,                0.50371,                0.32666,                 1.3057,                 1.8028,                 1.5325,             0.00037159,             0.00037159,             0.00037159
                     13,                0.68581,                  0.818,                 1.1075,                0.61415,                0.44322,                0.47949,                0.30818,                  1.332,                  1.894,                 1.5767,             0.00036746,             0.00036746,             0.00036746
                     14,                0.69497,                0.83993,                 1.1146,                0.60579,                0.46024,                0.48909,                0.30882,                 1.3539,                 1.8542,                 1.6052,             0.00036333,             0.00036333,             0.00036333
                     15,                0.69031,                0.82075,                 1.1063,                0.61429,                0.45025,                0.48411,                0.31412,                 1.3372,                 1.9558,                 1.5962,              0.0003592,              0.0003592,              0.0003592
                     16,                0.68464,                0.81309,                 1.1052,                0.61415,                0.44303,                0.48695,                0.31625,                 1.3303,                 2.0184,                   1.57,             0.00035508,             0.00035508,             0.00035508
                     17,                 0.6716,                0.79176,                 1.0917,                0.61659,                0.45651,                0.49151,                0.32107,                 1.3264,                  1.929,                 1.5386,             0.00035095,             0.00035095,             0.00035095
                     18,                0.67148,                0.79511,                 1.0891,                0.64254,                0.46013,                0.50179,                0.33032,                  1.298,                 1.8721,                 1.5352,             0.00034682,             0.00034682,             0.00034682
                     19,                0.65734,                0.78423,                 1.0871,                0.64739,                0.45308,                0.50538,                0.33206,                 1.3173,                 2.0164,                 1.5565,             0.00034269,             0.00034269,             0.00034269
                     20,                0.66878,                 0.7637,                  1.083,                0.64459,                 0.4591,                0.50247,                0.32871,                 1.3128,                 1.8924,                 1.5457,             0.00033856,             0.00033856,             0.00033856
                     21,                0.65895,                  0.759,                 1.0885,                0.64412,                0.45675,                 0.5063,                0.33491,                 1.3066,                 1.8242,                 1.5301,             0.00033443,             0.00033443,             0.00033443
                     22,                 0.6453,                0.75958,                 1.0791,                0.62616,                0.43658,                0.48151,                0.31769,                 1.3364,                 2.1439,                 1.5778,             0.00033031,             0.00033031,             0.00033031
                     23,                0.65127,                0.74545,                 1.0789,                0.61405,                0.44767,                0.48457,                0.32075,                 1.3274,                 2.0681,                 1.5863,             0.00032618,             0.00032618,             0.00032618
                     24,                0.65481,                 0.7454,                 1.0813,                0.63241,                0.45566,                 0.4958,                0.32318,                 1.3435,                 1.9512,                  1.593,             0.00032205,             0.00032205,             0.00032205
                     25,                0.63937,                0.73473,                 1.0752,                0.63564,                0.47308,                0.50733,                0.33132,                 1.3225,                 1.8924,                  1.558,             0.00031792,             0.00031792,             0.00031792
                     26,                0.63313,                0.72562,                 1.0773,                0.63762,                 0.4512,                0.49931,                0.33199,                 1.3224,                 2.0272,                 1.5802,             0.00031379,             0.00031379,             0.00031379
                     27,                 0.6415,                0.73044,                 1.0715,                0.65403,                0.45946,                0.51008,                0.33332,                 1.3196,                 1.8657,                 1.5738,             0.00030966,             0.00030966,             0.00030966
                     28,                0.63229,                0.70208,                 1.0672,                0.63813,                0.44337,                0.49902,                0.33423,                 1.3077,                 2.0925,                 1.5455,             0.00030554,             0.00030554,             0.00030554
                     29,                0.63079,                0.70419,                 1.0671,                0.62679,                0.46493,                0.50435,                0.33181,                 1.3064,                 1.8872,                 1.5733,             0.00030141,             0.00030141,             0.00030141
                     30,                0.64064,                0.70957,                 1.0653,                0.65106,                0.45333,                0.50381,                0.32809,                 1.3355,                 1.9564,                 1.5734,             0.00029728,             0.00029728,             0.00029728
                     31,                0.60595,                0.69764,                 1.0574,                0.64756,                0.45228,                0.50545,                  0.335,                 1.3277,                 2.0673,                 1.5906,             0.00029315,             0.00029315,             0.00029315
                     32,                0.62523,                0.68879,                 1.0634,                0.64516,                0.44932,                0.49953,                0.32438,                  1.345,                 1.9073,                 1.6068,             0.00028902,             0.00028902,             0.00028902
                     33,                0.61218,                 0.6808,                 1.0511,                0.64484,                0.44619,                0.50147,                0.33303,                 1.3222,                 2.0243,                 1.5674,             0.00028489,             0.00028489,             0.00028489
                     34,                0.60864,                0.66426,                 1.0465,                0.63208,                0.43312,                0.48306,                0.31589,                 1.3344,                 2.1186,                 1.5925,             0.00028077,             0.00028077,             0.00028077
                     35,                0.60127,                0.65852,                 1.0469,                0.65738,                0.44946,                0.50209,                0.33231,                 1.3177,                 2.0636,                 1.5763,             0.00027664,             0.00027664,             0.00027664
                     36,                0.60083,                0.65724,                 1.0411,                0.64059,                0.45401,                0.50094,                0.33396,                 1.3081,                 1.9857,                 1.5666,             0.00027251,             0.00027251,             0.00027251
                     37,                0.59988,                0.65219,                 1.0432,                 0.6383,                0.45088,                0.49741,                0.32404,                 1.3416,                 2.0547,                 1.6097,             0.00026838,             0.00026838,             0.00026838
                     38,                0.60884,                0.67354,                 1.0613,                0.64023,                0.45962,                0.50573,                0.33451,                 1.3189,                 1.9611,                 1.5818,             0.00026425,             0.00026425,             0.00026425
                     39,                0.60456,                0.66794,                  1.046,                0.64878,                 0.4534,                 0.5042,                0.33425,                 1.3112,                 1.9465,                 1.5684,             0.00026012,             0.00026012,             0.00026012
                     40,                0.59002,                0.64084,                 1.0443,                0.65212,                0.45895,                0.50623,                0.33752,                 1.3005,                 1.9109,                 1.5637,               0.000256,               0.000256,               0.000256
                     41,                0.58574,                0.63854,                 1.0371,                0.63652,                0.45715,                0.49709,                0.32447,                 1.3213,                 1.9937,                 1.5987,             0.00025187,             0.00025187,             0.00025187
                     42,                0.59072,                0.63447,                 1.0445,                0.64673,                 0.4539,                0.50356,                0.33373,                 1.3106,                  2.113,                 1.5723,             0.00024774,             0.00024774,             0.00024774
                     43,                0.59255,                0.63628,                 1.0471,                0.63567,                 0.4616,                0.50642,                0.32921,                 1.3397,                 1.9937,                    1.6,             0.00024361,             0.00024361,             0.00024361
                     44,                0.58448,                0.62269,                  1.042,                0.64952,                0.46313,                 0.5105,                0.33719,                 1.3181,                 1.9771,                 1.5743,             0.00023948,             0.00023948,             0.00023948
                     45,                 0.5879,                0.61474,                 1.0397,                0.66194,                0.44096,                0.50829,                0.34133,                 1.3162,                 2.1833,                 1.5517,             0.00023535,             0.00023535,             0.00023535
                     46,                0.57084,                0.61661,                  1.033,                0.65217,                0.44828,                0.50029,                0.33088,                 1.3259,                 2.0728,                 1.5899,             0.00023123,             0.00023123,             0.00023123
                     47,                0.57696,                0.61486,                  1.038,                0.63278,                0.45506,                0.49578,                0.32263,                 1.3291,                 2.0538,                 1.6075,              0.0002271,              0.0002271,              0.0002271
                     48,                0.56659,                0.59452,                 1.0236,                0.65268,                0.45128,                 0.5062,                0.33393,                 1.3196,                 2.0764,                  1.596,             0.00022297,             0.00022297,             0.00022297
                     49,                0.57145,                0.61995,                 1.0362,                0.65334,                0.45004,                0.50429,                0.33867,                 1.2993,                  2.001,                 1.5502,             0.00021884,             0.00021884,             0.00021884
                     50,                0.56524,                 0.5866,                 1.0253,                0.64817,                0.44162,                0.49468,                0.32681,                 1.3228,                 2.1361,                 1.6103,             0.00021471,             0.00021471,             0.00021471
