                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61773,                0.62393,                 1.0508,                0.72002,                0.56286,                0.57679,                0.37347,                 1.2198,                 1.3853,                 1.5085,              0.0001386,              0.0001386,              0.0001386
                      2,                0.64235,                0.65831,                  1.063,                0.68369,                0.55364,                0.55048,                0.35146,                 1.2514,                 1.4242,                 1.5532,             0.00027486,             0.00027486,             0.00027486
                      3,                0.67804,                0.71194,                 1.0876,                0.69296,                0.56615,                0.56457,                0.35942,                 1.2488,                 1.3928,                 1.5221,             0.00040836,             0.00040836,             0.00040836
                      4,                0.69791,                0.73925,                 1.0925,                0.67326,                0.54693,                0.53928,                0.34222,                 1.2481,                  1.416,                 1.5061,             0.00040462,             0.00040462,             0.00040462
                      5,                0.70559,                0.76428,                  1.103,                0.68629,                0.53228,                 0.5359,                 0.3363,                 1.2674,                 1.4425,                 1.5454,             0.00040049,             0.00040049,             0.00040049
                      6,                0.70589,                0.75323,                 1.1002,                0.67955,                0.54372,                0.53592,                 0.3392,                 1.2638,                  1.405,                 1.5288,             0.00039636,             0.00039636,             0.00039636
                      7,                0.70501,                0.75721,                 1.1031,                0.69627,                0.54072,                0.55225,                0.35434,                 1.2354,                 1.4084,                 1.5085,             0.00039223,             0.00039223,             0.00039223
                      8,                0.70698,                0.76254,                 1.1054,                 0.6601,                0.54364,                0.53385,                0.34102,                 1.2399,                 1.3778,                 1.4929,              0.0003881,              0.0003881,              0.0003881
                      9,                0.70848,                0.74966,                 1.0994,                0.70494,                0.54517,                0.55748,                0.35477,                 1.2526,                 1.3972,                 1.5057,             0.00038397,             0.00038397,             0.00038397
                     10,                0.70805,                0.75388,                 1.0983,                0.67778,                0.55087,                0.54355,                0.34662,                 1.2596,                 1.4308,                 1.5358,             0.00037985,             0.00037985,             0.00037985
                     11,                0.70928,                0.76199,                 1.1043,                0.67015,                0.54932,                0.53366,                0.33653,                 1.2495,                 1.4009,                 1.5178,             0.00037572,             0.00037572,             0.00037572
                     12,                0.70569,                0.75045,                 1.1011,                0.68404,                0.55565,                0.54545,                0.34497,                 1.2482,                 1.3677,                 1.4987,             0.00037159,             0.00037159,             0.00037159
                     13,                0.70666,                0.76078,                 1.1009,                0.68837,                0.55489,                0.55141,                0.35133,                 1.2383,                 1.3797,                 1.5097,             0.00036746,             0.00036746,             0.00036746
                     14,                0.70953,                0.74981,                 1.1018,                0.71802,                0.54627,                0.56138,                0.35912,                  1.231,                 1.4041,                 1.5009,             0.00036333,             0.00036333,             0.00036333
                     15,                0.69749,                0.74055,                 1.0959,                0.67704,                0.55794,                0.55114,                 0.3487,                 1.2285,                 1.3674,                 1.4842,              0.0003592,              0.0003592,              0.0003592
                     16,                0.69545,                0.75162,                 1.0969,                0.68096,                0.55158,                0.55056,                0.34695,                 1.2555,                 1.4082,                 1.5282,             0.00035508,             0.00035508,             0.00035508
                     17,                0.70316,                0.74516,                 1.1017,                 0.6954,                 0.5445,                0.55506,                0.35099,                 1.2667,                 1.4062,                 1.5254,             0.00035095,             0.00035095,             0.00035095
                     18,                0.69676,                0.73945,                 1.0943,                0.70629,                0.54506,                0.56125,                 0.3609,                 1.2368,                 1.3608,                 1.4972,             0.00034682,             0.00034682,             0.00034682
                     19,                0.70024,                0.74248,                 1.1011,                0.68441,                0.55293,                0.54705,                0.34649,                 1.2509,                 1.3671,                  1.525,             0.00034269,             0.00034269,             0.00034269
                     20,                0.68947,                0.73092,                 1.0939,                0.68811,                0.54197,                0.53964,                0.34226,                 1.2676,                 1.4301,                 1.5314,             0.00033856,             0.00033856,             0.00033856
                     21,                0.68941,                0.73027,                 1.0928,                0.69059,                0.54697,                0.55158,                 0.3498,                 1.2414,                 1.3749,                 1.5056,             0.00033443,             0.00033443,             0.00033443
                     22,                0.68729,                0.71658,                 1.0882,                 0.6962,                 0.5484,                0.55569,                0.35456,                 1.2407,                 1.3716,                 1.5004,             0.00033031,             0.00033031,             0.00033031
                     23,                0.69236,                0.72525,                 1.0955,                0.67908,                0.55189,                0.54306,                  0.345,                 1.2459,                 1.3845,                 1.5253,             0.00032618,             0.00032618,             0.00032618
                     24,                0.69083,                0.71243,                 1.0941,                0.71733,                0.55004,                0.57025,                0.36786,                 1.2293,                 1.3843,                 1.4915,             0.00032205,             0.00032205,             0.00032205
                     25,                0.67961,                0.71264,                  1.089,                0.68712,                0.54811,                0.54911,                0.34724,                 1.2595,                 1.3841,                  1.541,             0.00031792,             0.00031792,             0.00031792
                     26,                0.67967,                0.71089,                 1.0899,                 0.6889,                0.54586,                0.55192,                0.35283,                 1.2309,                 1.3516,                  1.502,             0.00031379,             0.00031379,             0.00031379
                     27,                0.67747,                0.71098,                 1.0864,                0.68088,                0.55705,                0.55615,                 0.3579,                 1.2332,                 1.3701,                 1.4961,             0.00030966,             0.00030966,             0.00030966
                     28,                0.67866,                0.70877,                 1.0803,                0.69737,                0.55331,                0.56121,                0.35984,                 1.2343,                 1.3503,                 1.5164,             0.00030554,             0.00030554,             0.00030554
                     29,                0.67451,                0.69742,                 1.0836,                0.69292,                0.55744,                0.55553,                0.35409,                 1.2412,                 1.3651,                 1.5196,             0.00030141,             0.00030141,             0.00030141
                     30,                0.67769,                0.70373,                 1.0815,                0.68404,                0.56306,                0.55129,                0.35079,                  1.242,                  1.379,                 1.5172,             0.00029728,             0.00029728,             0.00029728
                     31,                0.67127,                0.69646,                 1.0824,                0.67854,                0.56803,                0.55632,                0.35601,                 1.2281,                 1.3506,                 1.5044,             0.00029315,             0.00029315,             0.00029315
                     32,                0.67077,                 0.6912,                 1.0782,                0.68559,                0.56414,                 0.5483,                0.34441,                 1.2467,                 1.3471,                 1.5317,             0.00028902,             0.00028902,             0.00028902
                     33,                0.67433,                0.70211,                 1.0809,                0.72233,                0.54062,                0.56591,                0.36365,                 1.2416,                  1.385,                 1.5155,             0.00028489,             0.00028489,             0.00028489
                     34,                0.67101,                0.69631,                 1.0806,                0.68746,                0.55668,                0.55253,                0.35394,                 1.2263,                 1.3546,                 1.5138,             0.00028077,             0.00028077,             0.00028077
                     35,                0.66764,                0.68694,                  1.078,                0.70472,                0.55093,                0.55537,                0.35543,                  1.242,                 1.3947,                 1.5213,             0.00027664,             0.00027664,             0.00027664
                     36,                0.66356,                 0.6956,                 1.0821,                0.69579,                 0.5506,                0.55377,                0.35279,                 1.2419,                 1.3586,                 1.5249,             0.00027251,             0.00027251,             0.00027251
                     37,                0.66123,                0.68285,                 1.0714,                0.70314,                0.54911,                0.55071,                0.35397,                 1.2269,                 1.3646,                 1.5055,             0.00026838,             0.00026838,             0.00026838
                     38,                0.66095,                0.67743,                 1.0759,                0.71489,                0.55425,                0.56611,                0.36651,                 1.2251,                 1.3697,                 1.5025,             0.00026425,             0.00026425,             0.00026425
                     39,                0.65767,                0.67634,                 1.0738,                0.70011,                0.56592,                0.56471,                0.36358,                 1.2235,                 1.3272,                 1.4976,             0.00026012,             0.00026012,             0.00026012
                     40,                0.65789,                0.68379,                 1.0753,                0.69915,                0.57011,                0.56323,                 0.3638,                 1.2213,                  1.331,                 1.5012,               0.000256,               0.000256,               0.000256
