                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60997,                0.62651,                 1.0489,                0.68551,                0.55228,                0.54919,                0.35557,                 1.2556,                 1.4636,                 1.5486,              0.0001386,              0.0001386,              0.0001386
                      2,                0.63275,                0.65192,                 1.0614,                0.67241,                0.52959,                0.51517,                0.33036,                  1.265,                 1.5006,                 1.5532,             0.00027485,             0.00027485,             0.00027485
                      3,                0.66725,                0.71323,                  1.082,                0.69043,                0.52733,                0.53544,                0.34343,                 1.2741,                 1.4676,                 1.5595,             0.00040835,             0.00040835,             0.00040835
                      4,                0.69008,                0.74397,                 1.0961,                0.65537,                0.52425,                0.51643,                0.32512,                 1.3081,                 1.4952,                  1.571,             0.00040462,             0.00040462,             0.00040462
                      5,                0.70165,                0.76718,                 1.1018,                0.66002,                0.53645,                0.52295,                0.33114,                 1.2684,                 1.4462,                 1.5338,             0.00040049,             0.00040049,             0.00040049
                      6,                0.70595,                0.75766,                 1.1032,                 0.6628,                0.53037,                0.53095,                 0.3366,                 1.2836,                 1.4476,                 1.5517,             0.00039636,             0.00039636,             0.00039636
                      7,                0.70565,                0.76415,                 1.1028,                0.67807,                0.52885,                0.53371,                0.33942,                 1.2613,                 1.4272,                 1.5215,             0.00039223,             0.00039223,             0.00039223
                      8,                0.70993,                0.76678,                 1.1068,                0.68305,                0.52551,                 0.5288,                0.33516,                 1.2846,                 1.4781,                  1.538,              0.0003881,              0.0003881,              0.0003881
                      9,                0.70578,                0.76598,                 1.1034,                0.68524,                0.51759,                0.52759,                0.33001,                 1.2973,                 1.4684,                 1.5603,             0.00038397,             0.00038397,             0.00038397
                     10,                0.70821,                0.76606,                 1.1049,                0.66646,                0.53066,                0.52095,                0.32751,                 1.2953,                 1.4662,                 1.5543,             0.00037985,             0.00037985,             0.00037985
                     11,                0.70429,                0.75802,                 1.1054,                0.67692,                 0.5278,                 0.5237,                0.33024,                  1.288,                 1.4856,                 1.5586,             0.00037572,             0.00037572,             0.00037572
                     12,                0.70081,                0.74955,                 1.0998,                0.67326,                0.53021,                0.53582,                0.34212,                 1.2835,                 1.4399,                 1.5437,             0.00037159,             0.00037159,             0.00037159
                     13,                0.69871,                0.75875,                 1.1002,                0.66134,                0.52557,                0.53037,                0.33729,                 1.2893,                 1.4902,                 1.5612,             0.00036746,             0.00036746,             0.00036746
                     14,                0.70419,                0.76113,                  1.107,                0.67376,                0.53552,                0.53434,                0.33774,                 1.2741,                 1.4102,                 1.5301,             0.00036333,             0.00036333,             0.00036333
                     15,                0.70345,                0.76631,                 1.1065,                0.65985,                 0.5417,                0.52337,                 0.3294,                 1.2926,                  1.433,                 1.5437,              0.0003592,              0.0003592,              0.0003592
                     16,                0.69314,                0.74615,                 1.0965,                0.66316,                0.52461,                0.51849,                0.32861,                  1.281,                 1.4453,                 1.5482,             0.00035508,             0.00035508,             0.00035508
                     17,                0.69566,                0.74126,                 1.0975,                0.67445,                0.52081,                0.52798,                  0.335,                 1.2808,                 1.4477,                 1.5382,             0.00035095,             0.00035095,             0.00035095
                     18,                0.68933,                0.74337,                 1.0957,                0.67056,                0.53222,                0.53423,                0.34316,                 1.2624,                 1.4528,                 1.5333,             0.00034682,             0.00034682,             0.00034682
                     19,                0.68926,                0.74375,                 1.0928,                 0.7076,                0.51865,                0.54203,                0.34798,                 1.2683,                 1.4551,                 1.5335,             0.00034269,             0.00034269,             0.00034269
                     20,                0.69231,                0.74452,                  1.099,                0.65159,                0.54006,                0.51828,                0.32553,                 1.2872,                 1.4163,                 1.5503,             0.00033856,             0.00033856,             0.00033856
                     21,                0.68669,                0.73261,                 1.0931,                0.67768,                0.52998,                0.52859,                0.33725,                 1.2712,                 1.4668,                 1.5409,             0.00033443,             0.00033443,             0.00033443
                     22,                0.68901,                0.73026,                  1.097,                0.68518,                0.52622,                0.53391,                0.34101,                 1.2783,                 1.4675,                 1.5341,             0.00033031,             0.00033031,             0.00033031
                     23,                0.69525,                0.73801,                 1.1006,                0.67282,                0.52557,                0.52958,                0.33493,                 1.2797,                 1.4391,                 1.5401,             0.00032618,             0.00032618,             0.00032618
                     24,                0.68455,                0.72446,                 1.0897,                0.68615,                0.53105,                0.53946,                0.34466,                 1.2617,                 1.4263,                 1.5336,             0.00032205,             0.00032205,             0.00032205
                     25,                0.68461,                0.72527,                 1.0903,                0.69921,                0.51549,                0.53973,                0.34522,                  1.264,                 1.4489,                 1.5193,             0.00031792,             0.00031792,             0.00031792
                     26,                0.68211,                0.72596,                 1.0861,                0.66455,                0.53916,                0.52723,                0.33363,                  1.279,                 1.4477,                 1.5506,             0.00031379,             0.00031379,             0.00031379
                     27,                0.68197,                0.72211,                 1.0908,                0.68731,                0.52354,                0.53625,                0.34127,                 1.2764,                  1.465,                 1.5413,             0.00030966,             0.00030966,             0.00030966
                     28,                0.68208,                 0.7179,                 1.0878,                0.68365,                0.53021,                0.52909,                0.33794,                 1.2664,                 1.4489,                 1.5469,             0.00030554,             0.00030554,             0.00030554
                     29,                0.68234,                0.71677,                 1.0887,                 0.6709,                0.53167,                0.52798,                0.33333,                 1.2847,                 1.4438,                 1.5479,             0.00030141,             0.00030141,             0.00030141
                     30,                0.67288,                0.71232,                 1.0869,                 0.6775,                0.53316,                0.53499,                0.33901,                  1.275,                  1.439,                 1.5501,             0.00029728,             0.00029728,             0.00029728
                     31,                0.67277,                0.70575,                 1.0826,                 0.6823,                0.52299,                0.53093,                0.33903,                 1.2727,                 1.4663,                 1.5452,             0.00029315,             0.00029315,             0.00029315
                     32,                0.67024,                 0.7011,                  1.079,                0.68952,                 0.5298,                0.54017,                0.34618,                 1.2669,                 1.4362,                 1.5394,             0.00028902,             0.00028902,             0.00028902
                     33,                0.66786,                0.70396,                 1.0833,                0.67991,                0.52774,                0.53169,                0.33932,                 1.2695,                 1.4436,                 1.5448,             0.00028489,             0.00028489,             0.00028489
