                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73722,                0.84405,                  1.101,                0.73662,                0.59488,                0.65186,                0.45631,                 1.1155,                 1.2452,                  1.346,             0.00013842,             0.00013842,             0.00013842
                      2,                0.78095,                0.91898,                 1.1255,                0.71231,                0.57045,                0.62622,                0.42607,                 1.1766,                 1.3106,                 1.3934,             0.00027467,             0.00027467,             0.00027467
                      3,                0.83837,                  1.025,                 1.1625,                0.68724,                0.54359,                0.59027,                0.39574,                 1.2112,                 1.4765,                 1.4319,             0.00040817,             0.00040817,             0.00040817
                      4,                0.86745,                 1.0801,                 1.1784,                0.65746,                0.53576,                0.57234,                0.38319,                 1.1882,                 1.4055,                 1.4094,             0.00040462,             0.00040462,             0.00040462
                      5,                0.88463,                 1.0975,                 1.1941,                0.67381,                0.53825,                0.58896,                0.39697,                 1.1893,                 1.4196,                 1.4038,             0.00040049,             0.00040049,             0.00040049
                      6,                0.86973,                 1.0789,                 1.1787,                0.68589,                0.55251,                0.59518,                 0.3975,                 1.2044,                 1.3999,                 1.4278,             0.00039636,             0.00039636,             0.00039636
                      7,                0.88096,                  1.084,                 1.1876,                0.68026,                0.54219,                0.59505,                0.40205,                 1.1849,                 1.3764,                  1.405,             0.00039223,             0.00039223,             0.00039223
                      8,                0.86775,                 1.0849,                 1.1861,                0.66628,                0.55001,                0.59231,                0.39604,                  1.197,                 1.4567,                 1.4113,              0.0003881,              0.0003881,              0.0003881
                      9,                0.87276,                 1.0598,                 1.1878,                0.68037,                0.54512,                 0.5907,                0.39687,                 1.1922,                 1.3756,                 1.4073,             0.00038397,             0.00038397,             0.00038397
                     10,                0.87534,                 1.0604,                 1.1786,                0.67443,                0.56938,                0.61715,                0.42258,                 1.1689,                  1.354,                 1.3883,             0.00037985,             0.00037985,             0.00037985
                     11,                0.86536,                 1.0452,                 1.1752,                0.66573,                0.56545,                0.60149,                0.40851,                 1.1834,                 1.4066,                 1.4093,             0.00037572,             0.00037572,             0.00037572
                     12,                0.85395,                  1.044,                 1.1701,                0.68033,                0.55689,                0.60633,                0.40973,                 1.1811,                 1.3908,                 1.4144,             0.00037159,             0.00037159,             0.00037159
                     13,                0.85377,                 1.0197,                 1.1707,                0.69654,                0.55389,                0.61419,                0.41563,                 1.1876,                 1.3782,                 1.4047,             0.00036746,             0.00036746,             0.00036746
                     14,                0.85402,                 1.0093,                 1.1708,                0.67331,                0.56409,                0.60579,                0.41378,                 1.1783,                 1.3514,                 1.3929,             0.00036333,             0.00036333,             0.00036333
                     15,                0.85985,                 1.0315,                 1.1765,                0.68885,                0.55441,                0.60547,                 0.4115,                 1.1742,                 1.3691,                 1.4002,              0.0003592,              0.0003592,              0.0003592
                     16,                0.84936,                 1.0266,                 1.1667,                0.69544,                0.55927,                0.60549,                  0.406,                 1.2067,                 1.3937,                 1.4372,             0.00035508,             0.00035508,             0.00035508
                     17,                0.84076,                  1.001,                 1.1671,                0.70291,                0.56137,                0.62041,                0.42579,                 1.1647,                 1.3643,                 1.3908,             0.00035095,             0.00035095,             0.00035095
                     18,                0.84698,                0.99379,                 1.1728,                0.70819,                0.57014,                0.62407,                0.42435,                 1.1673,                 1.3096,                 1.3848,             0.00034682,             0.00034682,             0.00034682
                     19,                0.84063,                0.97806,                 1.1642,                 0.7097,                0.56541,                0.62248,                0.42182,                  1.173,                 1.3359,                 1.3939,             0.00034269,             0.00034269,             0.00034269
                     20,                0.83709,                0.97084,                 1.1677,                 0.6959,                0.56102,                0.60536,                0.40967,                 1.1768,                 1.3398,                 1.4067,             0.00033856,             0.00033856,             0.00033856
                     21,                0.82512,                0.97423,                 1.1599,                0.69984,                0.56835,                0.62167,                0.42585,                 1.1693,                 1.3271,                 1.3914,             0.00033443,             0.00033443,             0.00033443
                     22,                0.82082,                0.94197,                 1.1551,                0.69153,                0.58401,                0.62456,                0.43156,                 1.1595,                 1.3358,                 1.3913,             0.00033031,             0.00033031,             0.00033031
                     23,                0.82484,                0.94281,                 1.1511,                0.69289,                0.57124,                0.61737,                0.42005,                 1.1875,                 1.3484,                 1.4105,             0.00032618,             0.00032618,             0.00032618
                     24,                0.81945,                0.93469,                 1.1542,                0.70077,                0.57256,                  0.624,                0.42378,                 1.1754,                 1.3156,                 1.3974,             0.00032205,             0.00032205,             0.00032205
                     25,                 0.8132,                0.93776,                 1.1512,                0.68195,                0.58152,                0.61957,                0.42415,                 1.1635,                 1.3219,                  1.407,             0.00031792,             0.00031792,             0.00031792
                     26,                0.81825,                 0.9401,                 1.1526,                0.70484,                0.56666,                0.62102,                 0.4256,                 1.1702,                 1.3512,                 1.3996,             0.00031379,             0.00031379,             0.00031379
                     27,                 0.8178,                0.92164,                 1.1458,                0.71495,                0.57472,                 0.6235,                0.42715,                 1.1708,                 1.3428,                 1.4023,             0.00030966,             0.00030966,             0.00030966
                     28,                0.79968,                0.90483,                 1.1337,                0.72723,                0.56876,                0.62642,                0.42999,                 1.1592,                  1.313,                  1.395,             0.00030554,             0.00030554,             0.00030554
                     29,                0.80342,                0.91525,                  1.141,                0.71643,                0.56896,                0.62259,                0.43208,                 1.1642,                 1.3499,                 1.4056,             0.00030141,             0.00030141,             0.00030141
                     30,                0.79236,                0.88732,                 1.1371,                0.70995,                0.57548,                0.62334,                0.42396,                 1.1916,                 1.3518,                 1.4275,             0.00029728,             0.00029728,             0.00029728
                     31,                0.79985,                 0.9004,                 1.1339,                0.71759,                0.57796,                0.63439,                0.43872,                 1.1643,                 1.3304,                 1.3982,             0.00029315,             0.00029315,             0.00029315
                     32,                  0.784,                0.89015,                 1.1316,                0.69235,                0.58416,                0.61886,                0.42911,                 1.1533,                  1.303,                 1.3835,             0.00028902,             0.00028902,             0.00028902
                     33,                0.79372,                 0.8763,                 1.1319,                0.72036,                0.58595,                0.63544,                0.43911,                 1.1616,                  1.294,                 1.4005,             0.00028489,             0.00028489,             0.00028489
                     34,                0.78141,                0.85505,                 1.1225,                0.69865,                0.57718,                0.61965,                 0.4238,                 1.1753,                 1.3296,                 1.4167,             0.00028077,             0.00028077,             0.00028077
                     35,                0.78558,                0.87334,                 1.1302,                0.72224,                 0.5682,                0.62172,                0.42669,                 1.1677,                 1.3044,                 1.4122,             0.00027664,             0.00027664,             0.00027664
                     36,                0.77992,                0.86184,                 1.1213,                0.70827,                0.57422,                0.62634,                0.43172,                  1.158,                 1.3073,                 1.4027,             0.00027251,             0.00027251,             0.00027251
                     37,                0.77563,                0.85033,                  1.122,                0.70686,                0.58616,                0.62961,                 0.4374,                 1.1475,                 1.2748,                  1.382,             0.00026838,             0.00026838,             0.00026838
                     38,                0.77347,                0.85053,                 1.1248,                0.71469,                0.58279,                0.64013,                0.44471,                 1.1527,                 1.2825,                 1.3966,             0.00026425,             0.00026425,             0.00026425
