                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6946,                0.89634,                 1.1185,                0.65519,                0.50307,                0.53974,                0.36062,                 1.2354,                 1.6966,                 1.4979,              0.0001377,              0.0001377,              0.0001377
                      2,                0.70484,                0.88575,                 1.1124,                0.64185,                0.48162,                0.52034,                0.34663,                  1.264,                 1.7485,                 1.4883,             0.00027396,             0.00027396,             0.00027396
                      3,                0.73044,                0.94229,                 1.1361,                0.61071,                0.46629,                 0.4978,                0.32107,                 1.3094,                 1.7821,                 1.5582,             0.00040747,             0.00040747,             0.00040747
                      4,                0.75184,                0.94044,                 1.1353,                 0.6003,                0.45018,                0.48606,                0.31648,                 1.2983,                 1.8308,                 1.5159,             0.00040462,             0.00040462,             0.00040462
                      5,                0.74623,                0.90949,                 1.1387,                0.59873,                0.44316,                0.46831,                0.29351,                 1.3588,                  1.888,                 1.5784,             0.00040049,             0.00040049,             0.00040049
                      6,                0.74729,                0.94188,                 1.1437,                0.63475,                0.44498,                0.49042,                0.32379,                 1.3053,                 1.9441,                 1.5368,             0.00039636,             0.00039636,             0.00039636
                      7,                0.75662,                0.93939,                 1.1516,                0.60532,                0.46361,                0.49461,                0.31701,                 1.3262,                 1.8384,                 1.5522,             0.00039223,             0.00039223,             0.00039223
                      8,                0.72896,                0.89301,                 1.1195,                0.62009,                0.46129,                0.49649,                0.31895,                 1.3229,                 1.8586,                 1.5413,              0.0003881,              0.0003881,              0.0003881
                      9,                0.72637,                0.90303,                  1.126,                0.60106,                0.45328,                0.47958,                0.30625,                 1.3408,                 1.9146,                 1.5644,             0.00038397,             0.00038397,             0.00038397
                     10,                 0.7351,                0.88352,                 1.1273,                0.63716,                0.46332,                 0.5004,                0.32207,                 1.3261,                 1.8968,                 1.5536,             0.00037985,             0.00037985,             0.00037985
                     11,                0.72009,                0.89036,                 1.1158,                0.59465,                0.44677,                0.47308,                 0.3055,                 1.3149,                 1.9172,                  1.538,             0.00037572,             0.00037572,             0.00037572
                     12,                0.71288,                0.85263,                  1.113,                0.60238,                   0.43,                0.46881,                0.30447,                 1.3211,                 2.1463,                 1.5459,             0.00037159,             0.00037159,             0.00037159
                     13,                0.70567,                0.84783,                  1.114,                0.60802,                0.45512,                0.49136,                0.31977,                 1.3188,                 1.8879,                 1.5554,             0.00036746,             0.00036746,             0.00036746
                     14,                0.69916,                0.84407,                 1.1073,                0.62082,                0.45844,                0.49521,                0.32384,                 1.3116,                 1.9094,                 1.5416,             0.00036333,             0.00036333,             0.00036333
                     15,                0.70994,                0.83017,                 1.1103,                 0.6296,                0.45211,                0.49351,                0.31613,                 1.3413,                 1.9399,                 1.5663,              0.0003592,              0.0003592,              0.0003592
                     16,                0.69866,                0.82787,                 1.1019,                0.61199,                0.45263,                0.48911,                0.31398,                 1.3534,                 1.9911,                 1.5745,             0.00035508,             0.00035508,             0.00035508
                     17,                0.71066,                0.84076,                 1.1015,                0.61909,                0.45206,                0.48189,                 0.3071,                 1.3423,                 1.9394,                 1.5819,             0.00035095,             0.00035095,             0.00035095
                     18,                0.68259,                0.79939,                 1.0909,                0.64252,                0.46848,                0.51431,                0.33598,                 1.3057,                 1.8494,                 1.5302,             0.00034682,             0.00034682,             0.00034682
                     19,                0.67878,                0.79046,                 1.0921,                0.64052,                0.45318,                0.49951,                0.32566,                 1.3361,                 2.0414,                 1.5643,             0.00034269,             0.00034269,             0.00034269
                     20,                0.66854,                0.78302,                 1.0824,                0.61769,                 0.4477,                0.48204,                0.31723,                 1.2998,                 1.8481,                 1.5236,             0.00033856,             0.00033856,             0.00033856
                     21,                 0.6798,                0.79558,                 1.0969,                0.64253,                0.44414,                0.49286,                0.31929,                 1.3258,                 1.9248,                 1.5723,             0.00033443,             0.00033443,             0.00033443
                     22,                0.66344,                0.76776,                 1.0809,                0.61429,                0.45905,                0.49397,                0.32308,                 1.3201,                 1.9557,                 1.5543,             0.00033031,             0.00033031,             0.00033031
                     23,                0.65881,                0.75022,                 1.0838,                0.60831,                0.46914,                0.49858,                0.32514,                 1.3048,                 1.8337,                 1.5348,             0.00032618,             0.00032618,             0.00032618
                     24,                0.66356,                0.75603,                 1.0781,                0.60089,                0.45424,                0.48642,                0.31788,                  1.309,                 1.9717,                 1.5553,             0.00032205,             0.00032205,             0.00032205
                     25,                0.65297,                0.74911,                 1.0761,                0.61773,                0.43536,                0.47514,                 0.3074,                 1.3488,                 2.1819,                 1.6188,             0.00031792,             0.00031792,             0.00031792
                     26,                0.65814,                0.74809,                 1.0832,                0.61925,                0.44952,                0.48761,                0.31955,                 1.3274,                 2.0841,                 1.5697,             0.00031379,             0.00031379,             0.00031379
                     27,                0.65657,                0.73654,                 1.0776,                0.62971,                0.44658,                0.48949,                0.32328,                   1.32,                 2.0773,                 1.5856,             0.00030966,             0.00030966,             0.00030966
                     28,                0.64071,                0.71729,                  1.069,                0.61395,                0.44643,                0.49039,                0.32149,                 1.3134,                 1.9956,                  1.547,             0.00030554,             0.00030554,             0.00030554
                     29,                0.64323,                0.73326,                 1.0741,                0.62509,                0.44917,                0.48548,                0.31658,                 1.3161,                 1.9977,                 1.5679,             0.00030141,             0.00030141,             0.00030141
                     30,                0.63442,                0.71218,                  1.059,                 0.6236,                0.44921,                0.48897,                0.32016,                 1.3227,                 2.0121,                 1.6014,             0.00029728,             0.00029728,             0.00029728
