                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0043,                 3.6025,                 1.2362,                0.73142,                0.22925,                0.34401,                0.25489,                0.95621,                 2.9506,                 1.1803,             0.00013726,             0.00013726,             0.00013726
                      2,                 1.0895,                 2.4284,                 1.3245,                  0.591,                 0.5032,                0.52952,                0.35713,                 1.0752,                 2.0686,                 1.3009,             0.00027353,             0.00027353,             0.00027353
                      3,                 1.1596,                 2.1668,                 1.3645,                0.55433,                0.50566,                0.50661,                0.32607,                 1.1616,                 2.0698,                 1.3845,             0.00040704,             0.00040704,             0.00040704
                      4,                 1.1827,                 2.0819,                 1.3605,                0.53872,                0.48762,                0.49904,                0.31552,                 1.1775,                 1.9784,                  1.388,             0.00040462,             0.00040462,             0.00040462
                      5,                 1.1629,                 2.0199,                 1.3625,                0.59869,                0.51179,                0.53053,                0.34661,                 1.1404,                 1.8466,                 1.3581,             0.00040049,             0.00040049,             0.00040049
                      6,                 1.1339,                 1.9135,                 1.3398,                0.60931,                0.50604,                0.53526,                0.34878,                 1.1637,                 1.8778,                 1.3741,             0.00039636,             0.00039636,             0.00039636
                      7,                  1.116,                 1.8595,                 1.3304,                0.56171,                0.51058,                0.52789,                0.34467,                 1.1568,                 1.8223,                 1.3799,             0.00039223,             0.00039223,             0.00039223
                      8,                 1.0968,                 1.7594,                 1.2995,                0.58843,                0.52862,                0.54004,                0.34793,                 1.1708,                  1.867,                 1.3974,              0.0003881,              0.0003881,              0.0003881
                      9,                 1.0997,                  1.702,                 1.3107,                0.58828,                 0.5262,                0.54136,                0.34972,                 1.1765,                 1.7819,                 1.3862,             0.00038397,             0.00038397,             0.00038397
                     10,                 1.0794,                  1.713,                 1.3109,                0.61579,                0.51587,                0.53182,                 0.3392,                 1.2166,                 1.8656,                 1.4238,             0.00037985,             0.00037985,             0.00037985
                     11,                   1.07,                 1.6676,                 1.2915,                0.62716,                0.51596,                0.54999,                0.36228,                 1.1718,                 1.7624,                 1.3788,             0.00037572,             0.00037572,             0.00037572
                     12,                 1.0663,                 1.6614,                 1.2919,                0.61181,                0.51957,                0.54032,                0.35113,                 1.1786,                 1.7263,                 1.3932,             0.00037159,             0.00037159,             0.00037159
                     13,                 1.0498,                 1.5903,                 1.2845,                0.63327,                0.54458,                0.57188,                0.37826,                 1.1453,                 1.6735,                 1.3584,             0.00036746,             0.00036746,             0.00036746
                     14,                 1.0233,                 1.5391,                 1.2662,                0.63494,                0.50095,                0.53841,                 0.3521,                 1.1612,                 1.7261,                 1.3805,             0.00036333,             0.00036333,             0.00036333
                     15,                 1.0193,                 1.5492,                 1.2628,                0.63787,                0.52311,                0.56534,                0.37081,                 1.1678,                  1.677,                 1.3844,              0.0003592,              0.0003592,              0.0003592
                     16,                 1.0095,                 1.4937,                 1.2551,                0.63588,                0.52518,                0.56013,                0.36386,                 1.2112,                 1.6576,                 1.4289,             0.00035508,             0.00035508,             0.00035508
                     17,                 1.0103,                 1.4549,                  1.241,                0.62421,                0.54095,                0.56782,                0.37217,                 1.1437,                 1.6208,                 1.3599,             0.00035095,             0.00035095,             0.00035095
