                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52847,                0.52011,                0.98614,                 0.6675,                0.48313,                0.54229,                0.37993,                 1.2428,                   2.05,                  1.524,             0.00013824,             0.00013824,             0.00013824
                      2,                0.56365,                 0.5674,                 1.0017,                0.64675,                0.47422,                0.51744,                0.35151,                 1.2837,                 2.1319,                 1.6072,              0.0002745,              0.0002745,              0.0002745
                      3,                0.60113,                0.62323,                   1.02,                0.62962,                0.46795,                0.51394,                0.34603,                 1.2999,                 1.8621,                 1.5814,               0.000408,               0.000408,               0.000408
                      4,                0.63161,                0.66789,                 1.0395,                0.62277,                0.46612,                0.49851,                 0.3278,                 1.3506,                 1.9568,                 1.6253,             0.00040462,             0.00040462,             0.00040462
                      5,                0.63875,                0.69001,                 1.0442,                0.64871,                 0.4718,                0.51829,                0.34769,                 1.2982,                 1.7679,                 1.5656,             0.00040049,             0.00040049,             0.00040049
                      6,                0.63845,                0.68715,                 1.0495,                0.63767,                  0.477,                0.51966,                0.34921,                 1.3029,                  1.903,                 1.5833,             0.00039636,             0.00039636,             0.00039636
                      7,                0.64743,                0.69687,                  1.049,                0.64123,                 0.4716,                0.51461,                0.34719,                 1.2858,                  1.807,                 1.5478,             0.00039223,             0.00039223,             0.00039223
                      8,                0.65011,                0.68695,                 1.0482,                0.62488,                0.48705,                0.52861,                0.35612,                 1.2841,                 1.8764,                  1.543,              0.0003881,              0.0003881,              0.0003881
                      9,                0.64748,                0.69675,                  1.047,                0.65163,                0.44754,                0.50416,                0.33442,                  1.337,                 2.0079,                 1.5936,             0.00038397,             0.00038397,             0.00038397
                     10,                0.64124,                0.69543,                 1.0512,                0.63793,                0.46379,                0.50229,                0.33163,                  1.316,                 1.8482,                 1.5961,             0.00037985,             0.00037985,             0.00037985
