                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.52814,                0.57267,                  1.001,                0.68059,                0.45885,                0.52121,                0.35773,                 1.2706,                 2.2024,                 1.5394,             0.00013821,             0.00013821,             0.00013821
                      2,                  0.568,                0.62792,                 1.0221,                 0.6157,                0.45165,                0.48772,                0.32599,                 1.3117,                 2.0759,                 1.5769,             0.00027446,             0.00027446,             0.00027446
                      3,                0.60875,                0.70163,                 1.0423,                0.60933,                0.44437,                0.48052,                0.31621,                 1.3337,                 2.1427,                 1.5948,             0.00040796,             0.00040796,             0.00040796
                      4,                0.62823,                0.75017,                 1.0597,                0.59255,                 0.4492,                 0.4803,                0.31783,                  1.333,                 2.0972,                 1.6013,             0.00040462,             0.00040462,             0.00040462
                      5,                0.64914,                0.75569,                 1.0606,                0.62035,                0.45136,                0.48851,                0.31772,                 1.3414,                 2.0288,                 1.5805,             0.00040049,             0.00040049,             0.00040049
                      6,                0.65923,                0.77906,                 1.0767,                0.57788,                0.43728,                0.45884,                0.29081,                 1.3573,                 2.1648,                  1.641,             0.00039636,             0.00039636,             0.00039636
                      7,                0.64906,                0.77502,                 1.0718,                0.61995,                0.42955,                0.46954,                0.30877,                 1.3243,                 2.1755,                 1.5793,             0.00039223,             0.00039223,             0.00039223
                      8,                 0.6591,                0.75914,                  1.076,                0.60087,                0.44026,                0.46148,                 0.3005,                 1.3486,                 2.0735,                 1.6112,              0.0003881,              0.0003881,              0.0003881
                      9,                0.65722,                0.77111,                 1.0717,                0.61953,                0.43267,                0.47105,                0.30238,                 1.3614,                 2.0421,                 1.6222,             0.00038397,             0.00038397,             0.00038397
                     10,                0.64897,                0.77151,                 1.0721,                0.61675,                 0.4508,                0.47824,                0.30932,                 1.3367,                 1.8816,                 1.5955,             0.00037985,             0.00037985,             0.00037985
                     11,                0.64682,                0.77812,                 1.0718,                0.61422,                0.45097,                0.48251,                 0.3171,                 1.3321,                 2.0119,                 1.5752,             0.00037572,             0.00037572,             0.00037572
                     12,                0.64424,                0.74698,                 1.0605,                0.59597,                0.44326,                0.47336,                0.30639,                 1.3431,                  2.157,                 1.6014,             0.00037159,             0.00037159,             0.00037159
                     13,                0.64863,                0.76213,                 1.0683,                0.62504,                0.45654,                0.48818,                0.31584,                 1.3356,                 1.8395,                  1.587,             0.00036746,             0.00036746,             0.00036746
                     14,                0.64234,                 0.7418,                 1.0673,                0.62377,                0.46346,                0.49611,                0.32496,                 1.3201,                 1.9978,                 1.5805,             0.00036333,             0.00036333,             0.00036333
                     15,                0.64089,                0.75226,                 1.0686,                 0.6126,                0.43979,                0.47696,                0.31505,                 1.3184,                 2.1058,                 1.5659,              0.0003592,              0.0003592,              0.0003592
                     16,                0.64021,                0.74189,                 1.0601,                0.60884,                0.44608,                0.47628,                0.31367,                  1.321,                 2.0809,                 1.5788,             0.00035508,             0.00035508,             0.00035508
                     17,                0.64135,                0.73703,                 1.0619,                0.61452,                 0.4518,                0.48564,                0.31988,                  1.311,                 2.0049,                 1.5732,             0.00035095,             0.00035095,             0.00035095
                     18,                0.62328,                0.73263,                 1.0561,                0.62359,                0.43932,                0.47461,                0.31026,                 1.3317,                 2.1192,                 1.5917,             0.00034682,             0.00034682,             0.00034682
                     19,                0.62764,                0.71026,                 1.0603,                0.61137,                0.44158,                0.47965,                0.31718,                 1.3147,                 1.9709,                 1.5404,             0.00034269,             0.00034269,             0.00034269
                     20,                 0.6345,                0.71774,                 1.0602,                0.61445,                 0.4304,                0.46661,                0.30086,                 1.3798,                 2.3406,                 1.6618,             0.00033856,             0.00033856,             0.00033856
